iter	RMSE
0	1129.605727
1	1100.236751
2	1071.828331
3	1044.281585
4	1017.532583
5	991.5169047
6	966.3461484
7	942.0130061
8	918.4284304
9	895.6935101
10	873.7486824
11	852.7503733
12	832.2705996
13	812.3764639
14	793.2382954
15	774.7086641
16	756.7860763
17	739.5256585
18	722.8510722
19	706.7462813
20	691.1418348
21	676.0984439
22	661.6693768
23	647.7083271
24	634.150452
25	621.111081
26	608.5701386
27	596.4915084
28	584.8273287
29	573.634948
30	562.8668062
31	552.3812339
32	542.4263072
33	532.7357076
34	523.5697735
35	514.6684727
36	506.1419671
37	497.8694059
38	490.0160977
39	482.4494665
40	475.1495627
41	468.0745633
42	461.4406104
43	455.0300033
44	448.7782667
45	442.7918181
46	437.1097565
47	431.6269372
48	426.3928283
49	421.265432
50	416.2328216
51	411.5095882
52	406.8566181
53	402.5384742
54	398.3481982
55	394.3419737
56	390.5548221
57	386.7249481
58	383.2169989
59	379.9701126
60	376.7506452
61	373.7069593
62	370.7584531
63	367.9773577
64	365.2855565
65	362.5978623
66	359.8242944
67	357.4457155
68	355.2020227
69	353.0557648
70	350.8850231
71	348.7609886
72	346.7192006
73	344.8641634
74	343.1426652
75	341.4396963
76	339.7105111
77	338.0090579
78	336.4962626
79	335.0106944
80	333.6926146
81	332.2765566
82	331.0486085
83	329.7077202
84	328.5329308
85	327.3744674
86	326.2556574
87	325.2038424
88	324.1995377
89	322.9927628
90	322.0176066
91	321.0521223
92	320.1728654
93	319.2616871
94	318.449746
95	317.5763042
96	316.7860719
97	315.8206257
98	314.9724417
99	314.2978681
100	313.4866931
101	312.7341485
102	312.1110703
103	311.4887114
104	310.871262
105	309.8285734
106	309.2662873
107	308.6500102
108	308.1229127
109	307.5337053
110	306.9146051
111	306.2259065
112	305.7502533
113	305.3289441
114	304.8169365
115	304.4409234
116	303.4848868
117	302.8752296
118	302.4153913
119	302.0103099
120	301.6149439
121	300.9007943
122	300.550778
123	300.2102847
124	299.861675
125	299.5095508
126	299.1659915
127	298.7345627
128	297.9088859
129	297.6028923
130	297.2052865
131	296.6922242
132	296.4008372
133	296.1208486
134	295.7623382
135	294.9604903
136	294.6572533
137	294.3302429
138	293.5726792
139	293.2922763
140	293.032824
141	292.7500872
142	292.4846836
143	292.2162212
144	291.576464
145	291.1213239
146	290.8189726
147	290.5230316
148	290.2418428
149	290.0004923
150	289.3492327
151	288.6484078
152	288.4417631
153	288.1948558
154	287.8684648
155	287.6390021
156	287.4086789
157	287.2026143
158	286.9668324
159	286.737523
160	286.4643964
161	286.1294812
162	285.9070769
163	285.6065401
164	285.2978369
165	285.0951597
166	284.9128158
167	284.7108058
168	284.2241838
169	283.7602904
170	283.3900771
171	283.1331421
172	282.9647827
173	282.8518979
174	282.6434184
175	282.3137514
176	282.1685933
177	281.9539861
178	281.6339661
179	281.2441711
180	281.0141767
181	280.5648647
182	280.4071214
183	280.2945302
184	280.0886684
185	279.6777804
186	279.3681613
187	278.9953723
188	278.7518752
189	278.6091203
190	278.4056004
191	278.2391197
192	278.0442573
193	277.7968471
194	277.6880394
195	277.4969789
196	277.3979633
197	277.2251206
198	277.088735
199	276.68775
200	276.5940134
201	276.4672582
202	276.3182409
203	276.1562598
204	275.9295917
205	275.7839714
206	275.6250315
207	275.1805089
208	274.8043156
209	274.6866895
210	274.4367308
211	274.2297932
212	273.9253187
213	273.644472
214	273.4518088
215	273.2860836
216	273.1304323
217	272.9666257
218	272.8295938
219	272.6985446
220	272.5530182
221	272.4360067
222	272.2733987
223	272.1197578
224	271.9459348
225	271.7406842
226	271.6351227
227	271.5004579
228	271.1828029
229	271.0746035
230	270.9302153
231	270.8244647
232	270.6021688
233	270.4666237
234	270.3709193
235	270.0939379
236	269.9805691
237	269.850465
238	269.6868889
239	269.5878989
240	269.2216838
241	269.0944302
242	269.0035023
243	268.868617
244	268.7402689
245	268.5327169
246	268.4403959
247	268.3014643
248	268.1262525
249	267.7758346
250	267.6683209
251	267.4556281
252	267.3575316
253	267.2505753
254	267.1263719
255	266.99924
256	266.8762462
257	266.7147235
258	266.3968889
259	266.0916887
260	265.9876955
261	265.6911176
262	265.5395435
263	265.3397894
264	265.2101884
265	265.0763623
266	264.9613996
267	264.6613173
268	264.5468055
269	264.4406722
270	264.3071243
271	264.1581313
272	264.0065773
273	263.8811659
274	263.6185649
275	263.5094592
276	263.411741
277	263.3021597
278	263.2014712
279	262.9416317
280	262.6793029
281	262.562994
282	262.4421803
283	262.3580614
284	262.2651911
285	262.1660369
286	262.0443844
287	261.9056613
288	261.7891419
289	261.4963163
290	261.3754117
291	261.2622838
292	261.1512501
293	260.9069981
294	260.7508637
295	260.568463
296	260.444179
297	260.3425415
298	260.2574775
299	259.968404
300	259.8485926
301	259.7398624
302	259.6270051
303	259.5357409
304	259.3021618
305	259.2559008
306	259.1421974
307	259.044831
308	258.9623148
309	258.8823259
310	258.6242795
311	258.5257569
312	258.4397479
313	258.2511341
314	258.1134121
315	257.8895067
316	257.7901484
317	257.702537
318	257.6012611
319	257.4569274
320	257.3501064
321	257.2299205
322	257.0293341
323	256.9594252
324	256.8066361
325	256.7353307
326	256.6638293
327	256.543756
328	256.3287282
329	256.2477987
330	256.1873779
331	256.1382855
332	256.0243966
333	255.9769622
334	255.8928139
335	255.7979481
336	255.7219901
337	255.6111597
338	255.4907041
339	255.4045649
340	255.3187734
341	255.2376922
342	255.1391754
343	255.0461983
344	254.9771495
345	254.8799227
346	254.694779
347	254.5637336
348	254.4540766
349	254.3851598
350	254.2834899
351	254.1141373
352	253.9992445
353	253.9079083
354	253.8573801
355	253.7790716
356	253.6892226
357	253.5889865
358	253.4947726
359	253.4398148
360	253.2720544
361	253.1715003
362	253.0996852
363	252.9878002
364	252.9035487
365	252.6467162
366	252.6081545
367	252.5066944
368	252.4433902
369	252.245
370	252.2070257
371	252.1027595
372	251.9857419
373	251.9257829
374	251.8556705
375	251.7367647
376	251.6666772
377	251.4745041
378	251.3393766
379	251.2792857
380	251.1738627
381	251.0055486
382	250.9086375
383	250.720254
384	250.5933544
385	250.5273088
386	250.328848
387	250.221927
388	250.1611385
389	250.0855595
390	249.9963243
391	249.888999
392	249.8558483
393	249.6957023
394	249.5864814
395	249.4035765
396	249.2799156
397	249.1067889
398	249.0410615
399	248.9690665
400	248.8932623
401	248.8137757
402	248.7241004
403	248.5372716
404	248.4116201
405	248.2984115
406	248.2396201
407	248.0792574
408	247.9157519
409	247.7177485
410	247.6184559
411	247.5352246
412	247.4373962
413	247.3468813
414	247.3009237
415	247.2202631
416	247.1174463
417	247.0404615
418	246.9706496
419	246.8539201
420	246.7712276
421	246.7060731
422	246.5912224
423	246.5112976
424	246.4467922
425	246.3791323
426	246.1715484
427	246.0958239
428	245.9940347
429	245.8689434
430	245.7959711
431	245.6936459
432	245.5642552
433	245.4648806
434	245.3209545
435	245.2770029
436	245.2153847
437	245.0761782
438	244.8818
439	244.7564967
440	244.7057964
441	244.6724315
442	244.5942882
443	244.5215854
444	244.4256903
445	244.3842558
446	244.3265649
447	244.1999489
448	244.1039577
449	244.0429114
450	243.9470181
451	243.8026029
452	243.7499124
453	243.6616427
454	243.5396368
455	243.4588886
456	243.3554749
457	243.2203834
458	243.1431136
459	243.0754042
460	242.9756089
461	242.9383141
462	242.7606644
463	242.6831782
464	242.5396549
465	242.3527781
466	242.2422627
467	242.1635212
468	242.0917957
469	241.9951537
470	241.9064232
471	241.8724439
472	241.792422
473	241.7311327
474	241.6015422
475	241.4186895
476	241.3528645
477	241.2542912
478	241.2050647
479	241.1490776
480	241.0984947
481	240.9897809
482	240.9089302
483	240.8294576
484	240.7719414
485	240.7035938
486	240.6248404
487	240.565167
488	240.478653
489	240.4168761
490	240.250589
491	240.1930357
492	240.0879263
493	240.0460159
494	239.9735679
495	239.8971217
496	239.7977951
497	239.610387
498	239.5292066
499	239.3705251
500	239.2849288
501	239.2146575
502	239.1916715
503	239.1668842
504	239.1151401
505	239.0475456
506	238.9427749
507	238.9214766
508	238.8643743
509	238.8166975
510	238.7673385
511	238.7133457
512	238.5784785
513	238.5113887
514	238.3702304
515	238.3075461
516	238.2238552
517	238.0747599
518	238.019128
519	237.9453807
520	237.8624398
521	237.7640339
522	237.6808221
523	237.6676463
524	237.6357171
525	237.5511179
526	237.5328495
527	237.5061062
528	237.4811263
529	237.3492179
530	237.3282548
531	237.2831098
532	237.1927868
533	237.1739244
534	237.048931
535	236.8726863
536	236.798819
537	236.7430572
538	236.7001728
539	236.6287462
540	236.5682053
541	236.5226079
542	236.4172073
543	236.3619371
544	236.2728641
545	236.2253091
546	236.1561862
547	236.1157
548	236.0909738
549	236.0382398
550	235.8679582
551	235.7916767
552	235.7747897
553	235.757554
554	235.6818208
555	235.6685635
556	235.5699473
557	235.5286205
558	235.4752338
559	235.4160609
560	235.3732887
561	235.3151987
562	235.2481173
563	235.1072281
564	235.033944
565	234.9783059
566	234.9659081
567	234.9345008
568	234.7994011
569	234.7410427
570	234.6778718
571	234.6233612
572	234.5832767
573	234.4882763
574	234.4253879
575	234.4041778
576	234.3238728
577	234.2744233
578	234.2635509
579	234.1522008
580	234.0451154
581	233.9984132
582	233.920037
583	233.8482453
584	233.7747384
585	233.71504
586	233.6965966
587	233.5999908
588	233.5255069
589	233.4549721
590	233.4397269
591	233.4175003
592	233.3927094
593	233.2856365
594	233.2142171
595	233.1978108
596	233.1628007
597	233.1008916
598	232.9793103
599	232.963802
600	232.9305696
601	232.8979981
602	232.8390443
603	232.7715055
604	232.748224
605	232.6337736
606	232.5845393
607	232.5728586
608	232.549672
609	232.4601079
610	232.3621581
611	232.2715628
612	232.203787
613	232.1338617
614	232.0731729
615	232.0113831
616	231.9246017
617	231.8667804
618	231.8429494
619	231.7766447
620	231.7507513
621	231.7273189
622	231.7121564
623	231.703154
624	231.601353
625	231.5954737
626	231.5145153
627	231.4681006
628	231.4029902
629	231.2807984
630	231.2702282
631	231.2222135
632	231.162988
633	231.098509
634	231.0585307
635	230.9716079
636	230.9128068
637	230.8689432
638	230.8345603
639	230.8027768
640	230.7615146
641	230.7063957
642	230.6756267
643	230.644014
644	230.5823208
645	230.5428442
646	230.5245179
647	230.4197
648	230.3566238
649	230.3107868
650	230.2474637
651	230.2047909
652	230.1484504
653	230.126558
654	230.0779177
655	230.0240514
656	229.9582729
657	229.8749247
658	229.8646378
659	229.8101899
660	229.7568654
661	229.711686
662	229.6553384
663	229.6453077
664	229.5967106
665	229.5524206
666	229.470059
667	229.396374
668	229.3549399
669	229.3103872
670	229.2592753
671	229.1744887
672	229.1181556
673	229.012319
674	228.9656883
675	228.8817497
676	228.8177177
677	228.766544
678	228.7523764
679	228.7426795
680	228.6886528
681	228.6853509
682	228.6464583
683	228.6091848
684	228.5543902
685	228.5140112
686	228.4635363
687	228.4125268
688	228.3435971
689	228.2813797
690	228.2518047
691	228.2472682
692	228.2420399
693	228.2222922
694	228.1879327
695	228.1830558
696	228.1442264
697	228.1002725
698	228.0722145
699	228.0554
700	227.9934913
701	227.9758577
702	227.8885496
703	227.8492588
704	227.7948148
705	227.739502
706	227.7172465
707	227.643878
708	227.6036957
709	227.5692334
710	227.542297
711	227.4926485
712	227.4805212
713	227.4189099
714	227.3706306
715	227.3214586
716	227.2803907
717	227.2027404
718	227.1276564
719	227.0937765
720	227.0549681
721	227.0321769
722	227.0116436
723	226.9294312
724	226.9003453
725	226.8041485
726	226.7738202
727	226.7708071
728	226.730722
729	226.7241832
730	226.6965301
731	226.6642235
732	226.5949122
733	226.5172033
734	226.4822501
735	226.4641198
736	226.4465368
737	226.4100164
738	226.3886394
739	226.3366675
740	226.3013275
741	226.2441718
742	226.2069969
743	226.1410931
744	225.9978895
745	225.9622943
746	225.9176153
747	225.8853283
748	225.8311141
749	225.7872862
750	225.7653323
751	225.6849921
752	225.5902989
753	225.5770733
754	225.5310984
755	225.4957204
756	225.4333646
757	225.3697295
758	225.3127377
759	225.1847848
760	225.159528
761	225.1100981
762	225.0553637
763	225.0293621
764	224.9689962
765	224.9198643
766	224.8865104
767	224.8394799
768	224.8015235
769	224.7538537
770	224.6864018
771	224.5183247
772	224.4654026
773	224.4611927
774	224.4397069
775	224.3461072
776	224.2939407
777	224.1523051
778	224.0974543
779	224.0496257
780	224.0204683
781	223.9652568
782	223.9162443
783	223.8982277
784	223.8703617
785	223.8532388
786	223.8159912
787	223.8055742
788	223.7812398
789	223.7501603
790	223.6993182
791	223.6679832
792	223.6612428
793	223.6140331
794	223.5886593
795	223.5344773
796	223.4880356
797	223.4658144
798	223.3302378
799	223.2901038
800	223.2561123
801	223.1757056
802	223.15974
803	223.0410541
804	222.9970891
805	222.9933018
806	222.9834067
807	222.9582621
808	222.9050822
809	222.865429
810	222.8501582
811	222.7038174
812	222.5696252
813	222.554787
814	222.5073106
815	222.4063942
816	222.3862515
817	222.3568122
818	222.3131514
819	222.1692998
820	222.025632
821	221.9974353
822	221.94116
823	221.8905311
824	221.8322245
825	221.8159768
826	221.7770655
827	221.6821455
828	221.6164468
829	221.5794607
830	221.5770367
831	221.549112
832	221.5265957
833	221.4681468
834	221.4359708
835	221.4178244
836	221.3263384
837	221.2750361
838	221.2282519
839	221.2013883
840	221.1617381
841	221.1124214
842	221.0731215
843	221.0248491
844	220.9764296
845	220.9506482
846	220.9029693
847	220.85901
848	220.7742288
849	220.7461401
850	220.7028191
851	220.6076787
852	220.5932422
853	220.565652
854	220.4802524
855	220.3425091
856	220.3206385
857	220.2580965
858	220.2342121
859	220.2078952
860	220.1935215
861	220.1698567
862	220.1558898
863	220.1462345
864	220.1285506
865	220.0821936
866	220.0535276
867	219.971798
868	219.9119522
869	219.8894456
870	219.88455
871	219.8589348
872	219.8122924
873	219.7836339
874	219.7540264
875	219.7145734
876	219.6895385
877	219.6515173
878	219.622761
879	219.5234091
880	219.4881733
881	219.4475196
882	219.3822069
883	219.3241332
884	219.2730713
885	219.2597874
886	219.1994957
887	219.1497176
888	219.11155
889	219.0867824
890	219.0376506
891	218.9882008
892	218.9837814
893	218.9708585
894	218.9560781
895	218.9321967
896	218.9101517
897	218.8818985
898	218.8698162
899	218.8579396
900	218.8346283
901	218.7960584
902	218.757126
903	218.7107841
904	218.6721234
905	218.6470081
906	218.593324
907	218.5683354
908	218.5437939
909	218.5181961
910	218.4913033
911	218.4805445
912	218.4563699
913	218.4297277
914	218.3397552
915	218.331731
916	218.3084353
917	218.2561001
918	218.2384055
919	218.1964861
920	218.1391787
921	218.1185669
922	218.1107348
923	217.9838494
924	217.9539308
925	217.8571426
926	217.7769799
927	217.6687226
928	217.6269299
929	217.5900141
930	217.5407339
931	217.4180597
932	217.316245
933	217.2636331
934	217.2282529
935	217.158882
936	217.141525
937	217.0656571
938	217.0577032
939	216.9567329
940	216.8634835
941	216.8231065
942	216.8119756
943	216.7714756
944	216.7294458
945	216.7160071
946	216.621217
947	216.5431003
948	216.4502925
949	216.4279624
950	216.3187026
951	216.2322179
952	216.2060969
953	216.1633093
954	216.0935491
955	216.0740578
956	216.0252007
957	215.9854833
