family_name,MAE,RMSE,MAPE,R2,Accuracy (%),Count
PRODUCE,290.980038,728.607851,544.100924,0.950761,-444.100924,3640
POULTRY,52.979808,102.468186,104.821268,0.941596,-4.821268,3640
PREPARED FOODS,28.533738,40.785087,70.787534,0.920841,29.212466,3640
DAIRY,146.102583,243.784909,279.705796,0.915392,-179.705796,3640
BREAD/BAKERY,81.265036,140.830182,131.205105,0.913501,-31.205105,3640
BEVERAGES,537.270224,1040.434223,896.74439,0.88113,-796.74439,3640
GROCERY I,689.851328,1261.508203,1577.114716,0.81348,-1477.114716,3640
EGGS,50.987384,88.366003,77.553742,0.812428,22.446258,3640
SEAFOOD,13.151405,18.714221,366.464948,0.775544,-266.464948,3640
HOME CARE,60.175972,102.797992,70.251935,0.708395,29.748065,3640
"LIQUOR,WINE,BEER",40.422192,73.53568,442.123123,0.696583,-342.123123,3640
CLEANING,230.118328,385.906661,385.920643,0.674107,-285.920643,3640
MEATS,55.862716,212.56883,74.423755,0.637657,25.576245,3640
DELI,53.827303,94.217091,85.07034,0.635219,14.92966,3640
PERSONAL CARE,70.248519,116.061955,91.081644,0.603991,8.918356,3640
GROCERY II,13.411745,19.03153,249.501949,0.504292,-149.501949,3640
FROZEN FOODS,81.665561,232.594378,237.779879,0.468985,-137.779879,3640
HOME AND KITCHEN II,16.482566,39.535773,90.290456,0.292601,9.709544,3640
PLAYERS AND ELECTRONICS,9.807945,13.421612,217.60042,0.124124,-117.60042,3640
HOME AND KITCHEN I,22.564996,53.687744,90.298932,0.116489,9.701068,3640
LADIESWEAR,9.980135,13.676447,500.957542,-0.030494,-400.957542,3640
PET SUPPLIES,9.915448,13.643257,529.438412,-0.060642,-429.438412,3640
SCHOOL AND OFFICE SUPPLIES,11.858429,18.553226,741.896778,-0.07656,-641.896778,3640
CELEBRATION,11.285821,16.075897,183.84079,-0.189009,-83.84079,3640
LAWN AND GARDEN,10.565979,15.648134,681.647921,-1.106464,-581.647921,3640
MAGAZINES,9.725554,13.248117,495.399438,-1.216376,-395.399438,3640
LINGERIE,10.619779,14.358244,330.802899,-2.299567,-230.802899,3640
BEAUTY,10.385604,14.275686,506.730106,-3.926565,-406.730106,3640
AUTOMOTIVE,9.927771,13.484128,273.209275,-4.344736,-173.209275,3640
HARDWARE,10.117378,13.608822,799.45388,-52.018677,-699.45388,3640
BOOKS,9.993546,13.692614,964.463359,-105.112822,-864.463359,3640
HOME APPLIANCES,9.980364,13.604091,916.057848,-168.517032,-816.057848,3640
BABY CARE,9.957156,13.575794,940.269451,-178.303973,-840.269451,3640
