family_name,MAE,RMSE,MAPE,R2,accuracy,coverage_95,avg_width,mean_sale,WAPE,segment
GROCERY I,644.4267801,1096.072008,13.86528547,0.847716226,77.82786885,90.6557377,2735.380676,4605.283221,0.139932063,High
BEVERAGES,457.7612531,784.3854926,14.55316394,0.92617646,76.39344262,90.49180328,1981.787289,3318.679098,0.137934775,High
PRODUCE,303.0853171,597.5751905,14.7768462,0.965715639,73.89344262,92.58196721,1436.516593,2361.940396,0.128320477,High
CLEANING,192.9212726,313.6502173,15.31560503,0.772037753,74.83606557,89.83606557,794.1554272,1285.216803,0.15010796,High
DAIRY,117.5110027,198.768666,14.51824132,0.942381304,76.8442623,90.90163934,543.7158773,898.3372951,0.130809445,High
BREAD/BAKERY,70.9977,117.7510839,14.38787257,0.939038714,78.31967213,93.85245902,357.4156138,562.0888129,0.126310466,High
PERSONAL CARE,62.01388615,93.1838836,21.12186907,0.684896175,60.08196721,89.30327869,259.9700482,310.7754098,0.199545666,High
POULTRY,50.50885508,100.496423,22.28645525,0.942058583,61.68032787,94.71311475,246.5490497,309.2259005,0.163339665,High
HOME CARE,49.42277796,74.34581859,17.67216395,0.831409493,68.81147541,93.44262295,243.2296845,299.1471311,0.165212275,High
DELI,43.50980973,63.25067946,16.65873231,0.835545351,69.95901639,91.47540984,199.0782918,282.2530267,0.154151792,High
MEATS,50.07157928,86.47617612,20.96725603,0.913287671,63.44262295,95.16393443,239.6909919,282.2062739,0.177429008,High
EGGS,47.027545,83.83621796,33.60507375,0.830958115,49.18032787,93.27868852,208.2639508,199.8086066,0.23536296,High
FROZEN FOODS,67.32169803,240.9880641,37.01010971,0.582032213,43.23770492,91.8852459,204.9897483,187.4919128,0.359064543,High
PREPARED FOODS,20.03897726,32.567369,23.2015789,0.947986714,58.31967213,92.09016393,96.82824866,121.2052946,0.165330874,Medium
"LIQUOR,WINE,BEER",38.82682879,77.12306867,200394229.1,0.703813944,27.29508197,87.66393443,146.6493888,97.27008197,0.39916517,Medium
HOME AND KITCHEN I,16.41198494,51.96653723,1652712.299,0.268992753,30.49180328,89.09836066,60.78814913,38.48647541,0.426435125,Medium
HOME AND KITCHEN II,11.15443219,36.04820563,828200.3158,0.43804897,36.35245902,91.35245902,45.28700839,33.36311475,0.334334257,Medium
GROCERY II,7.70370953,14.22520607,14497571.61,0.748134976,28.56557377,93.27868852,32.31363733,22.42090164,0.343594992,Medium
SEAFOOD,5.622456836,11.2906245,11743298.27,0.915074808,27.95081967,97.04918033,26.8765755,20.6711959,0.271994754,Medium
