family_name,MAE,RMSE,MAPE,R2,Accuracy (%),Count
POULTRY,44.98413,94.731391,122.569137,0.950082,-22.569137,3640
PREPARED FOODS,20.497897,33.21495,61.209909,0.947499,38.790091,3640
PRODUCE,305.69623,773.809022,763.115102,0.944462,-663.115102,3640
DAIRY,117.481988,218.560059,347.235849,0.931995,-247.235849,3640
BREAD/BAKERY,69.809233,125.614959,173.213114,0.931182,-73.213114,3640
BEVERAGES,490.283439,1001.519277,1048.946724,0.889856,-948.946724,3640
SEAFOOD,8.951062,13.559898,226.032482,0.882158,-126.032482,3640
EGGS,43.782567,75.423501,98.174489,0.86335,1.825511,3640
GROCERY I,589.236143,1165.374781,1542.286688,0.840824,-1442.286688,3640
DELI,43.394059,69.502837,115.527466,0.801492,-15.527466,3640
CLEANING,192.562682,332.25133,456.756544,0.75843,-356.756544,3640
FROZEN FOODS,57.759671,158.109878,251.676176,0.754627,-151.676176,3640
HOME CARE,56.576266,97.880012,118.38636,0.735629,-18.38636,3640
"LIQUOR,WINE,BEER",39.239241,72.682876,436.529749,0.70358,-336.529749,3640
GROCERY II,9.9096,15.177122,180.893922,0.684748,-80.893922,3640
MEATS,47.695536,214.186762,94.938186,0.63212,5.061814,3640
PERSONAL CARE,69.194724,119.816884,121.688862,0.577952,-21.688862,3640
PLAYERS AND ELECTRONICS,7.137123,9.813042,154.785626,0.53179,-54.785626,3640
HOME AND KITCHEN II,12.509663,34.675598,63.190832,0.455833,36.809168,3640
PET SUPPLIES,7.194069,9.855416,390.410568,0.446545,-290.410568,3640
LADIESWEAR,7.560717,10.378605,348.304306,0.40656,-248.304306,3640
CELEBRATION,8.285283,11.927719,121.140302,0.34544,-21.140302,3640
HOME AND KITCHEN I,18.211914,49.012151,81.077476,0.263676,18.922524,3640
SCHOOL AND OFFICE SUPPLIES,8.674406,15.601204,501.735471,0.238771,-401.735471,3640
MAGAZINES,6.886799,9.313368,343.048681,-0.095339,-243.048681,3640
LAWN AND GARDEN,7.574374,11.300269,496.250287,-0.098517,-396.250287,3640
LINGERIE,6.941699,9.234344,222.63387,-0.364792,-122.63387,3640
BEAUTY,6.533429,9.080636,341.259274,-0.993347,-241.259274,3640
AUTOMOTIVE,6.457709,8.398352,186.067722,-1.073331,-86.067722,3640
HARDWARE,6.720212,9.379858,548.512576,-24.187227,-448.512576,3640
BOOKS,7.052913,9.945734,691.344789,-54.98463,-591.344789,3640
HOME APPLIANCES,6.826004,9.656338,638.435205,-84.408118,-538.435205,3640
BABY CARE,6.933465,9.762125,656.593751,-91.714614,-556.593751,3640
