Group_Category,family,RMSE,MAE,R2,Accuracy_Pct,Order,Seasonal_Order
GROUP_1,LINGERIE,25.8177,21.9754,-0.1776,68.0177,"(1, 1, 1)","(1, 0, 2, 7)"
GROUP_1,CELEBRATION,31.7664,23.8215,-0.0106,77.7831,"(1, 1, 2)","(2, 0, 2, 7)"
GROUP_1,PLAYERS AND ELECTRONICS,16.1798,12.7343,0.4826,86.496,"(3, 1, 1)","(2, 0, 1, 7)"
GROUP_1,AUTOMOTIVE,16.3996,13.3617,-0.0004,77.0155,"(0, 1, 2)","(0, 0, 2, 7)"
GROUP_1,LADIESWEAR,29.5885,24.1043,-0.083,72.0332,"(0, 1, 2)","(1, 0, 2, 7)"
GROUP_1,PET SUPPLIES,16.598,12.3859,0.5419,83.6189,"(1, 1, 2)","(1, 0, 1, 7)"
GROUP_1,LAWN AND GARDEN,38.1895,34.6731,-2.6887,54.2839,"(2, 1, 1)","(2, 0, 1, 7)"
GROUP_1,BEAUTY,13.8945,10.8263,0.2478,73.8916,"(3, 1, 1)","(1, 0, 1, 7)"
GROUP_1,SCHOOL AND OFFICE SUPPLIES,177.0872,79.3393,-0.1019,6.1814,"(2, 1, 2)","(1, 0, 1, 7)"
GROUP_1,MAGAZINES,14.914,11.7857,0.3647,77.1889,"(1, 1, 2)","(2, 0, 1, 7)"
GROUP_1,HARDWARE,5.5069,4.4081,-0.0152,72.7894,"(0, 1, 2)","(1, 0, 1, 7)"
GROUP_1,HOME APPLIANCES,3.9728,3.4213,-0.6351,15.6381,"(2, 1, 2)","(1, 0, 1, 7)"
GROUP_1,BABY CARE,1.4016,1.0223,-0.0748,12.3744,"(3, 1, 3)","(2, 0, 1, 7)"
GROUP_1,BOOKS,1.7916,1.7516,-27.6016,-1651.5746,"(0, 1, 3)","(1, 0, 1, 7)"
GROUP_2,HOME AND KITCHEN I,86.4895,68.9088,-0.1319,78.6476,"(0, 1, 1)","(0, 0, 2, 7)"
GROUP_2,GROCERY II,87.8718,68.2923,-0.4729,71.6381,"(2, 0, 3)","(1, 0, 0, 7)"
GROUP_2,SEAFOOD,38.109,32.0094,-0.0496,78.6635,"(1, 1, 2)","(0, 0, 2, 7)"
GROUP_2,HOME AND KITCHEN II,63.7324,45.7542,0.1025,84.7361,"(2, 1, 1)","(1, 0, 1, 7)"
GROUP_3,PREPARED FOODS,111.0008,96.3128,-0.997,87.0876,"(2, 1, 2)","(0, 0, 2, 7)"
GROUP_3,"LIQUOR,WINE,BEER",377.599,315.7995,-0.2445,54.9808,"(2, 1, 0)","(1, 0, 1, 7)"
GROUP_4,BREAD/BAKERY,637.9934,538.2402,0.2276,88.4696,"(3, 1, 0)","(2, 0, 0, 7)"
GROUP_4,POULTRY,265.7279,188.7971,0.755,92.5012,"(3, 1, 2)","(2, 0, 1, 7)"
GROUP_4,PERSONAL CARE,1404.3786,1268.8584,-4.0679,47.263,"(3, 1, 0)","(2, 0, 0, 7)"
GROUP_4,MEATS,355.6065,259.3035,0.3061,89.2706,"(3, 1, 0)","(2, 0, 1, 7)"
GROUP_4,DELI,507.5671,406.72,-0.4656,82.1797,"(3, 1, 0)","(2, 0, 0, 7)"
GROUP_4,EGGS,382.3883,344.3484,-0.1879,79.3337,"(3, 1, 0)","(1, 0, 2, 7)"
GROUP_4,HOME CARE,1429.2655,1102.8882,-3.9217,56.5336,"(1, 1, 0)","(2, 0, 1, 7)"
GROUP_4,FROZEN FOODS,304.2197,254.9559,-0.5132,75.4483,"(1, 0, 0)","(1, 0, 1, 7)"
GROUP_5,PRODUCE,1756.9534,1363.2508,0.6756,92.7463,"(3, 1, 3)","(2, 0, 2, 7)"
GROUP_5,CLEANING,4440.9589,3516.9367,-1.3808,68.0739,"(1, 1, 0)","(2, 0, 1, 7)"
GROUP_5,DAIRY,983.298,837.5863,0.4669,88.0216,"(1, 1, 0)","(2, 0, 1, 7)"
GROUP_6,GROCERY I,19411.4141,18340.9607,-7.4099,51.5746,"(1, 1, 0)","(1, 0, 1, 7)"
GROUP_6,BEVERAGES,5539.4553,4428.505,0.4316,85.4832,"(3, 1, 2)","(1, 0, 1, 7)"
,,,,,,,
GROUP_1,AVERAGE_GROUP1,28.0791,18.2579,-2.1251,-62.4473,-,-
GROUP_2,AVERAGE_GROUP2,69.0507,53.7412,-0.138,78.4213,-,-
GROUP_3,AVERAGE_GROUP3,244.2999,206.0562,-0.6207,71.0342,-,-
GROUP_4,AVERAGE_GROUP4,660.8934,545.514,-0.9835,76.375,-,-
GROUP_5,AVERAGE_GROUP5,2393.7368,1905.9246,-0.0794,82.9473,-,-
GROUP_6,AVERAGE_GROUP6,12475.4347,11384.7328,-3.4892,68.5289,-,-
ALL_GROUP,AVERAGE,2645.2491,2352.371117,-1.239316667,52.47656667,,
