date,store_nbr,family,sales_pred,scenario
2017-01-01,44,BABY CARE,0.045675976365163504,no_promo
2017-01-01,40,BABY CARE,0.23567230470845568,no_promo
2017-01-01,54,BABY CARE,0.3069209277481295,no_promo
2017-01-01,5,BABY CARE,0.9503814811546555,no_promo
2017-01-01,31,BABY CARE,0.5206667968671508,no_promo
2017-01-01,12,BABY CARE,0.16442368166878188,no_promo
2017-01-01,37,BABY CARE,0.3514012917629804,no_promo
2017-01-01,34,BABY CARE,0.5413976201062726,no_promo
2017-01-02,44,BABY CARE,0.019880726869217387,no_promo
2017-01-02,5,BABY CARE,1.4531373736314217,no_promo
2017-01-02,40,BABY CARE,0.1837912803584838,no_promo
2017-01-02,54,BABY CARE,0.343850922040704,no_promo
2017-01-02,31,BABY CARE,0.8395768594132909,no_promo
2017-01-02,12,BABY CARE,0.28054506552454284,no_promo
2017-01-02,37,BABY CARE,0.3465315329552321,no_promo
2017-01-02,34,BABY CARE,0.7245679142510859,no_promo
2017-01-03,44,BABY CARE,0.01746822947503062,no_promo
2017-01-03,54,BABY CARE,0.27612103008872046,no_promo
2017-01-03,5,BABY CARE,1.2411930766953332,no_promo
2017-01-03,40,BABY CARE,0.16929915546636623,no_promo
2017-01-03,31,BABY CARE,0.4705229894617744,no_promo
2017-01-03,12,BABY CARE,0.158531083824344,no_promo
2017-01-03,37,BABY CARE,0.30569010302630273,no_promo
2017-01-03,34,BABY CARE,0.5392754233807816,no_promo
2017-01-04,44,BABY CARE,0.011623076821160705,no_promo
2017-01-04,5,BABY CARE,0.6342442166649751,no_promo
2017-01-04,40,BABY CARE,0.2787834093136543,no_promo
2017-01-04,54,BABY CARE,0.2707984058507916,no_promo
2017-01-04,31,BABY CARE,0.4391250607144179,no_promo
2017-01-04,12,BABY CARE,0.12909007522296284,no_promo
2017-01-04,37,BABY CARE,0.29876915657490716,no_promo
2017-01-04,34,BABY CARE,0.5290181440811282,no_promo
2017-01-05,44,BABY CARE,0.00561248919397752,no_promo
2017-01-05,5,BABY CARE,0.6441015160892045,no_promo
2017-01-05,40,BABY CARE,0.4403166955825095,no_promo
2017-01-05,54,BABY CARE,0.28469898904556773,no_promo
2017-01-05,31,BABY CARE,0.42929009882787206,no_promo
2017-01-05,12,BABY CARE,0.24375301494763857,no_promo
2017-01-05,37,BABY CARE,0.31288489852918844,no_promo
2017-01-05,34,BABY CARE,0.5454968816382869,no_promo
2017-01-06,44,BABY CARE,0.0020660065369667996,no_promo
2017-01-06,40,BABY CARE,0.3460960760302323,no_promo
2017-01-06,5,BABY CARE,0.5973656219743738,no_promo
2017-01-06,54,BABY CARE,0.26033971790771904,no_promo
2017-01-06,31,BABY CARE,0.4787982272933331,no_promo
2017-01-06,12,BABY CARE,0.11730969775721593,no_promo
2017-01-06,37,BABY CARE,0.3699735459969342,no_promo
2017-01-06,34,BABY CARE,0.4753867852389857,no_promo
2017-01-07,44,BABY CARE,0.06418176217215454,no_promo
2017-01-07,40,BABY CARE,0.39271004333738746,no_promo
2017-01-07,54,BABY CARE,0.32518081782997177,no_promo
2017-01-07,5,BABY CARE,0.6795564789149533,no_promo
2017-01-07,31,BABY CARE,0.39242064481642136,no_promo
2017-01-07,12,BABY CARE,0.3029370272386873,no_promo
2017-01-07,37,BABY CARE,0.34976025667807786,no_promo
2017-01-07,34,BABY CARE,0.5686084620939352,no_promo
2017-01-08,44,BABY CARE,0.0563643955627216,no_promo
2017-01-08,5,BABY CARE,0.6552192533595705,no_promo
2017-01-08,40,BABY CARE,0.36108166202093817,no_promo
2017-01-08,54,BABY CARE,0.3213592567542055,no_promo
2017-01-08,31,BABY CARE,0.346584171880827,no_promo
2017-01-08,12,BABY CARE,0.17688459921845368,no_promo
2017-01-08,37,BABY CARE,0.3430801577974578,no_promo
2017-01-08,34,BABY CARE,0.5373591700204234,no_promo
2017-01-09,44,BABY CARE,0.02094642435799648,no_promo
2017-01-09,40,BABY CARE,0.3115451779305908,no_promo
2017-01-09,5,BABY CARE,0.6964337428096108,no_promo
2017-01-09,54,BABY CARE,0.2552656811362427,no_promo
2017-01-09,31,BABY CARE,0.39207759445886203,no_promo
2017-01-09,12,BABY CARE,0.3041615621289512,no_promo
2017-01-09,37,BABY CARE,0.3082256976295318,no_promo
2017-01-09,34,BABY CARE,0.6381714935233413,no_promo
2017-01-10,44,BABY CARE,0.017015157766908297,no_promo
2017-01-10,40,BABY CARE,0.7893859117776305,no_promo
2017-01-10,5,BABY CARE,0.6962281439649326,no_promo
2017-01-10,54,BABY CARE,0.25176473206416483,no_promo
2017-01-10,31,BABY CARE,0.49566331604839164,no_promo
2017-01-10,12,BABY CARE,0.1583956274278721,no_promo
2017-01-10,37,BABY CARE,0.30385386786421886,no_promo
2017-01-10,34,BABY CARE,0.469199037060417,no_promo
2017-01-11,44,BABY CARE,0.01136070606492668,no_promo
2017-01-11,5,BABY CARE,0.6098737064880171,no_promo
2017-01-11,40,BABY CARE,0.6900553462025252,no_promo
2017-01-11,54,BABY CARE,0.17483092035686584,no_promo
2017-01-11,31,BABY CARE,0.367224732020358,no_promo
2017-01-11,12,BABY CARE,0.15297682579582467,no_promo
2017-01-11,37,BABY CARE,0.27323064241597894,no_promo
2017-01-11,34,BABY CARE,0.824847971548995,no_promo
2017-01-12,44,BABY CARE,0.0046911263257483835,no_promo
2017-01-12,40,BABY CARE,0.4351983648280019,no_promo
2017-01-12,5,BABY CARE,0.5773439809989166,no_promo
2017-01-12,54,BABY CARE,0.1684892015845525,no_promo
2017-01-12,31,BABY CARE,0.36246084415108226,no_promo
2017-01-12,12,BABY CARE,0.16733519329698945,no_promo
2017-01-12,37,BABY CARE,0.26707334543752714,no_promo
2017-01-12,34,BABY CARE,0.4318857405625697,no_promo
2017-01-13,44,BABY CARE,0.002325356025715583,no_promo
2017-01-13,40,BABY CARE,0.296561317199468,no_promo
2017-01-13,5,BABY CARE,0.6013506392095326,no_promo
2017-01-13,54,BABY CARE,0.11857312145698866,no_promo
2017-01-13,31,BABY CARE,0.35480182085681633,no_promo
2017-01-13,12,BABY CARE,0.14252757533700844,no_promo
2017-01-13,37,BABY CARE,0.21570238155701385,no_promo
2017-01-13,34,BABY CARE,0.5502857085113266,no_promo
2017-01-14,44,BABY CARE,0.06585501208050848,no_promo
2017-01-14,54,BABY CARE,0.18477689352277385,no_promo
2017-01-14,5,BABY CARE,0.7103200008301496,no_promo
2017-01-14,40,BABY CARE,0.36580804886396856,no_promo
2017-01-14,31,BABY CARE,0.42255918176353124,no_promo
2017-01-14,12,BABY CARE,0.22827367463702988,no_promo
2017-01-14,37,BABY CARE,0.2796521094756025,no_promo
2017-01-14,34,BABY CARE,0.49705567750621105,no_promo
2017-01-15,44,BABY CARE,0.059144176234244755,no_promo
2017-01-15,40,BABY CARE,0.3640151275206792,no_promo
2017-01-15,5,BABY CARE,0.6830050403590172,no_promo
2017-01-15,54,BABY CARE,0.17981806471819475,no_promo
2017-01-15,31,BABY CARE,0.5880270067219523,no_promo
2017-01-15,12,BABY CARE,0.3224788801488837,no_promo
2017-01-15,37,BABY CARE,0.27220358645389264,no_promo
2017-01-15,34,BABY CARE,0.49106203752496436,no_promo
2017-01-16,44,BABY CARE,0.020470138133634484,no_promo
2017-01-16,5,BABY CARE,0.7859979891332867,no_promo
2017-01-16,40,BABY CARE,0.3106693111528621,no_promo
2017-01-16,54,BABY CARE,0.13736337984342295,no_promo
2017-01-16,31,BABY CARE,0.6674753278247829,no_promo
2017-01-16,12,BABY CARE,0.23036739164367145,no_promo
2017-01-16,37,BABY CARE,0.23647005139985242,no_promo
2017-01-16,34,BABY CARE,0.4935897537705555,no_promo
2017-01-17,44,BABY CARE,0.015712628986697508,no_promo
2017-01-17,40,BABY CARE,0.5068857345793512,no_promo
2017-01-17,5,BABY CARE,0.6605771982897053,no_promo
2017-01-17,54,BABY CARE,0.10761660492731243,no_promo
2017-01-17,31,BABY CARE,0.41827008048331815,no_promo
2017-01-17,12,BABY CARE,0.20404916118523583,no_promo
2017-01-17,37,BABY CARE,0.20835233637533843,no_promo
2017-01-17,34,BABY CARE,0.539493483597174,no_promo
2017-01-18,44,BABY CARE,0.011211037516052492,no_promo
2017-01-18,54,BABY CARE,0.10544077719036571,no_promo
2017-01-18,5,BABY CARE,0.8506718732215852,no_promo
2017-01-18,40,BABY CARE,0.3898828978663633,no_promo
2017-01-18,31,BABY CARE,0.391172956524507,no_promo
2017-01-18,12,BABY CARE,0.2007975396507635,no_promo
2017-01-18,34,BABY CARE,0.5731581883773726,no_promo
2017-01-18,37,BABY CARE,0.1786770573416583,no_promo
2017-01-19,44,BABY CARE,0.006128726164168118,no_promo
2017-01-19,40,BABY CARE,0.35931202850413646,no_promo
2017-01-19,54,BABY CARE,0.02700948347982891,no_promo
2017-01-19,5,BABY CARE,1.036251135537755,no_promo
2017-01-19,31,BABY CARE,0.38742258035051147,no_promo
2017-01-19,12,BABY CARE,0.17222182819102694,no_promo
2017-01-19,37,BABY CARE,0.12558338167758906,no_promo
2017-01-19,34,BABY CARE,0.386387769173844,no_promo
2017-01-20,44,BABY CARE,0.0013361405038605154,no_promo
2017-01-20,40,BABY CARE,0.36216919724989005,no_promo
2017-01-20,54,BABY CARE,0.02202223037044524,no_promo
2017-01-20,5,BABY CARE,0.9370754865070076,no_promo
2017-01-20,31,BABY CARE,0.5024326413488278,no_promo
2017-01-20,12,BABY CARE,0.2126332980266092,no_promo
2017-01-20,37,BABY CARE,0.12087276125899771,no_promo
2017-01-20,34,BABY CARE,0.37869941383950323,no_promo
2017-01-21,44,BABY CARE,0.06499899007644229,no_promo
2017-01-21,5,BABY CARE,0.902062342461775,no_promo
2017-01-21,40,BABY CARE,0.44033989460624634,no_promo
2017-01-21,54,BABY CARE,0.08935302450982875,no_promo
2017-01-21,31,BABY CARE,0.6893611690425445,no_promo
2017-01-21,12,BABY CARE,0.27871412222982006,no_promo
2017-01-21,37,BABY CARE,0.18490445441930256,no_promo
2017-01-21,34,BABY CARE,0.40112977210024015,no_promo
2017-01-22,44,BABY CARE,0.05842134774796747,no_promo
2017-01-22,40,BABY CARE,0.4810154381040811,no_promo
2017-01-22,5,BABY CARE,0.8509773491919983,no_promo
2017-01-22,54,BABY CARE,0.06089055065466919,no_promo
2017-01-22,31,BABY CARE,0.5605666561764957,no_promo
2017-01-22,12,BABY CARE,0.5359253822650112,no_promo
2017-01-22,37,BABY CARE,0.1540854791523149,no_promo
2017-01-22,34,BABY CARE,0.5893631938017043,no_promo
2017-01-23,44,BABY CARE,0.020793013016005824,no_promo
2017-01-23,40,BABY CARE,0.4282440249650442,no_promo
2017-01-23,5,BABY CARE,0.829510275473478,no_promo
2017-01-23,54,BABY CARE,0.018067668728940854,no_promo
2017-01-23,31,BABY CARE,0.41918423359199164,no_promo
2017-01-23,12,BABY CARE,0.23339136875099983,no_promo
2017-01-23,37,BABY CARE,0.022370843919043436,no_promo
2017-01-23,34,BABY CARE,0.6686687222682982,no_promo
2017-01-24,44,BABY CARE,0.015730223169400655,no_promo
2017-01-24,5,BABY CARE,0.9977388116786575,no_promo
2017-01-24,40,BABY CARE,0.5857122394627154,no_promo
2017-01-24,54,BABY CARE,0.012390139569463887,no_promo
2017-01-24,31,BABY CARE,0.3248430996915481,no_promo
2017-01-24,12,BABY CARE,0.2283798071804673,no_promo
2017-01-24,37,BABY CARE,0.018312128283462202,no_promo
2017-01-24,34,BABY CARE,0.30143166553789835,no_promo
2017-01-25,44,BABY CARE,0.011238616155466535,no_promo
2017-01-25,40,BABY CARE,0.5878150836552597,no_promo
2017-01-25,5,BABY CARE,0.6527975895758599,no_promo
