date,store_nbr,family,sales_pred,scenario
2017-01-01,44,BABY CARE,1.393361916001733,with_promo
2017-01-01,40,BABY CARE,1.5833582443450251,with_promo
2017-01-01,54,BABY CARE,1.654606867384699,with_promo
2017-01-01,5,BABY CARE,2.298067420791225,with_promo
2017-01-01,31,BABY CARE,1.8683527365037202,with_promo
2017-01-01,12,BABY CARE,1.5121096213053513,with_promo
2017-01-01,37,BABY CARE,1.6990872313995498,with_promo
2017-01-01,34,BABY CARE,1.889083559742842,with_promo
2017-01-02,44,BABY CARE,0.9586716219259352,with_promo
2017-01-02,5,BABY CARE,2.39192826868814,with_promo
2017-01-02,40,BABY CARE,1.1225821754152014,with_promo
2017-01-02,54,BABY CARE,1.2826418170974216,with_promo
2017-01-02,31,BABY CARE,1.7783677544700085,with_promo
2017-01-02,12,BABY CARE,1.2193359605812604,with_promo
2017-01-02,37,BABY CARE,1.2853224280119497,with_promo
2017-01-02,34,BABY CARE,1.6633588093078036,with_promo
2017-01-03,44,BABY CARE,0.9562591245317485,with_promo
2017-01-03,54,BABY CARE,1.2149119251454383,with_promo
2017-01-03,5,BABY CARE,2.1799839717520513,with_promo
2017-01-03,40,BABY CARE,1.1080900505230842,with_promo
2017-01-03,31,BABY CARE,1.4093138845184923,with_promo
2017-01-03,12,BABY CARE,1.0973219788810618,with_promo
2017-01-03,37,BABY CARE,1.2444809980830205,with_promo
2017-01-03,34,BABY CARE,1.4780663184374994,with_promo
2017-01-04,44,BABY CARE,0.9504139718778786,with_promo
2017-01-04,5,BABY CARE,1.573035111721693,with_promo
2017-01-04,40,BABY CARE,1.217574304370372,with_promo
2017-01-04,54,BABY CARE,1.2095893009075094,with_promo
2017-01-04,31,BABY CARE,1.3779159557711358,with_promo
2017-01-04,12,BABY CARE,1.0678809702796805,with_promo
2017-01-04,37,BABY CARE,1.2375600516316247,with_promo
2017-01-04,34,BABY CARE,1.4678090391378458,with_promo
2017-01-05,44,BABY CARE,0.9444033842506954,with_promo
2017-01-05,5,BABY CARE,1.5828924111459224,with_promo
2017-01-05,40,BABY CARE,1.3791075906392272,with_promo
2017-01-05,54,BABY CARE,1.2234898841022854,with_promo
2017-01-05,31,BABY CARE,1.3680809938845897,with_promo
2017-01-05,12,BABY CARE,1.1825439100043562,with_promo
2017-01-05,37,BABY CARE,1.2516757935859062,with_promo
2017-01-05,34,BABY CARE,1.4842877766950047,with_promo
2017-01-06,44,BABY CARE,0.9408569015936846,with_promo
2017-01-06,40,BABY CARE,1.2848869710869502,with_promo
2017-01-06,5,BABY CARE,1.5361565170310916,with_promo
2017-01-06,54,BABY CARE,1.1991306129644368,with_promo
2017-01-06,31,BABY CARE,1.4175891223500507,with_promo
2017-01-06,12,BABY CARE,1.0561005928139335,with_promo
2017-01-06,37,BABY CARE,1.308764441053652,with_promo
2017-01-06,34,BABY CARE,1.4141776802957033,with_promo
2017-01-07,44,BABY CARE,1.411867701808724,with_promo
2017-01-07,40,BABY CARE,1.7403959829739568,with_promo
2017-01-07,54,BABY CARE,1.6728667574665412,with_promo
2017-01-07,5,BABY CARE,2.027242418551523,with_promo
2017-01-07,31,BABY CARE,1.7401065844529906,with_promo
2017-01-07,12,BABY CARE,1.6506229668752566,with_promo
2017-01-07,37,BABY CARE,1.6974461963146472,with_promo
2017-01-07,34,BABY CARE,1.9162944017305046,with_promo
2017-01-08,44,BABY CARE,1.404050335199291,with_promo
2017-01-08,5,BABY CARE,2.00290519299614,with_promo
2017-01-08,40,BABY CARE,1.7087676016575075,with_promo
2017-01-08,54,BABY CARE,1.6690451963907749,with_promo
2017-01-08,31,BABY CARE,1.6942701115173964,with_promo
2017-01-08,12,BABY CARE,1.524570538855023,with_promo
2017-01-08,37,BABY CARE,1.690766097434027,with_promo
2017-01-08,34,BABY CARE,1.8850451096569927,with_promo
2017-01-09,44,BABY CARE,0.9597373194147143,with_promo
2017-01-09,40,BABY CARE,1.2503360729873085,with_promo
2017-01-09,5,BABY CARE,1.6352246378663287,with_promo
2017-01-09,54,BABY CARE,1.1940565761929605,with_promo
2017-01-09,31,BABY CARE,1.3308684895155798,with_promo
2017-01-09,12,BABY CARE,1.242952457185669,with_promo
2017-01-09,37,BABY CARE,1.2470165926862495,with_promo
2017-01-09,34,BABY CARE,1.5769623885800588,with_promo
2017-01-10,44,BABY CARE,0.9558060528236262,with_promo
2017-01-10,40,BABY CARE,1.7281768068343482,with_promo
2017-01-10,5,BABY CARE,1.6350190390216504,with_promo
2017-01-10,54,BABY CARE,1.1905556271208826,with_promo
2017-01-10,31,BABY CARE,1.4344542111051095,with_promo
2017-01-10,12,BABY CARE,1.0971865224845898,with_promo
2017-01-10,37,BABY CARE,1.2426447629209367,with_promo
2017-01-10,34,BABY CARE,1.4079899321171347,with_promo
2017-01-11,44,BABY CARE,0.9501516011216445,with_promo
2017-01-11,5,BABY CARE,1.548664601544735,with_promo
2017-01-11,40,BABY CARE,1.6288462412592426,with_promo
2017-01-11,54,BABY CARE,1.1136218154135835,with_promo
2017-01-11,31,BABY CARE,1.3060156270770757,with_promo
2017-01-11,12,BABY CARE,1.0917677208525425,with_promo
2017-01-11,37,BABY CARE,1.2120215374726968,with_promo
2017-01-11,34,BABY CARE,1.7636388666057126,with_promo
2017-01-12,44,BABY CARE,0.9434820213824662,with_promo
2017-01-12,40,BABY CARE,1.3739892598847194,with_promo
2017-01-12,5,BABY CARE,1.5161348760556344,with_promo
2017-01-12,54,BABY CARE,1.1072800966412701,with_promo
2017-01-12,31,BABY CARE,1.3012517392078,with_promo
2017-01-12,12,BABY CARE,1.1061260883537072,with_promo
2017-01-12,37,BABY CARE,1.205864240494245,with_promo
2017-01-12,34,BABY CARE,1.3706766356192874,with_promo
2017-01-13,44,BABY CARE,0.9411162510824335,with_promo
2017-01-13,40,BABY CARE,1.2353522122561857,with_promo
2017-01-13,5,BABY CARE,1.5401415342662503,with_promo
2017-01-13,54,BABY CARE,1.0573640165137064,with_promo
2017-01-13,31,BABY CARE,1.293592715913534,with_promo
2017-01-13,12,BABY CARE,1.0813184703937262,with_promo
2017-01-13,37,BABY CARE,1.1544932766137317,with_promo
2017-01-13,34,BABY CARE,1.4890766035680445,with_promo
2017-01-14,44,BABY CARE,1.413540951717078,with_promo
2017-01-14,54,BABY CARE,1.5324628331593433,with_promo
2017-01-14,5,BABY CARE,2.0580059404667193,with_promo
2017-01-14,40,BABY CARE,1.7134939885005382,with_promo
2017-01-14,31,BABY CARE,1.7702451214001007,with_promo
2017-01-14,12,BABY CARE,1.5759596142735994,with_promo
2017-01-14,37,BABY CARE,1.627338049112172,with_promo
2017-01-14,34,BABY CARE,1.8447416171427806,with_promo
2017-01-15,44,BABY CARE,1.4068301158708143,with_promo
2017-01-15,40,BABY CARE,1.7117010671572488,with_promo
2017-01-15,5,BABY CARE,2.030690979995587,with_promo
